Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];

430496;-2.666626;24.312500;0.021667;3.135417;95;

430634;-13.333374;24.312500;0.021667;3.135417;97;

430777;-16.000000;24.312500;0.021667;3.135417;95;

430914;-20.000000;24.375000;0.021667;3.135000;97;

431058;-18.666626;24.312500;0.021667;3.135417;95;

431203;-22.666626;24.312500;0.021667;3.135417;98;

431346;-22.666626;24.312500;0.021667;3.135417;95;

431485;-13.333374;24.312500;0.021667;3.136667;93;

431626;-20.000000;24.312500;0.021667;3.135417;95;

431763;-18.666626;24.312500;0.021250;3.140834;92;

431907;-18.666626;24.312500;0.021667;3.140000;94;

432056;-20.000000;24.312500;0.021667;3.140834;94;

432194;-21.333374;24.312500;0.021667;3.140417;98;

432337;-21.333374;24.312500;0.021667;3.140834;95;

432470;-13.333374;24.312500;0.021667;3.140417;95;

432616;-13.333374;24.312500;0.021667;3.140417;96;

432754;-22.666626;24.312500;0.021667;3.140834;96;

432900;-30.666626;24.312500;0.021667;3.140417;93;

433049;-32.000000;24.312500;0.021667;3.140834;96;

433202;-36.000000;24.312500;0.021667;3.140834;92;

433349;-38.666626;24.312500;0.021667;3.140834;98;

433500;-36.000000;24.312500;0.021667;3.140834;96;

433655;-25.333374;24.312500;0.021667;3.140834;95;

433796;-26.666626;24.312500;0.021667;3.140834;92;

433936;-21.333374;24.375000;0.021667;3.140417;95;

434076;-16.000000;24.312500;0.021667;3.140417;93;

434214;-8.000000;24.312500;0.021667;3.140417;96;

434357;-5.333374;24.312500;0.021667;3.140834;93;

434494;-1.333374;24.312500;0.021667;3.140834;95;

434638;-1.333374;24.312500;0.021667;3.140834;94;

434783;1.333374;24.312500;0.021667;3.140834;92;

434926;4.000000;24.375000;0.021667;3.140834;96;

435068;8.000000;24.312500;0.021667;3.140834;94;

435214;0.000000;24.312500;0.021667;3.140834;95;

435356;0.000000;24.312500;0.021667;3.140834;92;

435496;0.000000;24.312500;0.021667;3.140834;94;

435636;0.000000;24.312500;0.021667;3.140834;97;

